City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Dejen,ET,2021-04-11 15:57:01,10.1667,38.1333,71.11,27,62,4.65,broken clouds
141,Hobyo,SO,2021-04-11 15:57:02,5.3505,48.5268,83.17,63,96,10.8,overcast clouds
142,Domat,CH,2021-04-11 15:57:02,46.8348,9.4508,46.0,75,75,10.36,broken clouds
143,Tricase,IT,2021-04-11 15:57:02,39.9304,18.3553,61.0,82,20,9.22,few clouds
144,Cayenne,GF,2021-04-11 15:55:09,4.9333,-52.3333,87.8,66,20,9.22,few clouds
145,Alihe,CN,2021-04-11 15:57:03,50.5667,123.7167,24.75,92,100,9.64,snow
146,Lavrentiya,RU,2021-04-11 15:57:03,65.5833,-171.0,3.97,65,100,29.46,overcast clouds
147,Avarua,CK,2021-04-11 15:57:03,-21.2078,-159.775,75.2,100,75,2.3,broken clouds
148,Ulaangom,MN,2021-04-11 15:57:04,49.9811,92.0667,36.61,35,2,0.27,clear sky
149,Hithadhoo,MV,2021-04-11 15:57:04,-0.6,73.0833,83.95,66,62,11.45,broken clouds
150,Mahebourg,MU,2021-04-11 15:57:04,-20.4081,57.7,80.6,78,40,6.91,light rain
151,Severo-Kurilsk,RU,2021-04-11 15:57:05,50.6789,156.125,27.97,78,42,10.02,scattered clouds
152,Egvekinot,RU,2021-04-11 15:57:05,66.3167,-179.1667,-10.37,84,99,20.22,overcast clouds
153,Padang,ID,2021-04-11 15:57:06,-0.9492,100.3543,77.0,100,40,2.3,moderate rain
154,Sistranda,NO,2021-04-11 15:57:06,63.7256,8.834,41.0,70,40,11.5,scattered clouds
155,Coquimbo,CL,2021-04-11 15:57:06,-29.9533,-71.3436,62.6,67,0,12.66,clear sky
156,Kenai,US,2021-04-11 15:57:07,60.5544,-151.2583,19.0,53,40,19.57,scattered clouds
157,San Juan,AR,2021-04-11 15:56:38,-31.5375,-68.5364,71.1,29,0,10.67,clear sky
158,Minnedosa,CA,2021-04-11 15:57:07,50.2453,-99.8436,44.6,42,40,18.41,scattered clouds
159,Vaini,TO,2021-04-11 15:57:08,-21.2,-175.2,66.2,100,20,3.44,few clouds
160,Lasa,IT,2021-04-11 15:57:08,46.6166,10.7002,52.0,93,90,8.05,mist
161,Caravelas,BR,2021-04-11 15:52:10,-17.7125,-39.2481,82.29,63,74,4.61,broken clouds
162,Haukipudas,FI,2021-04-11 15:57:08,65.1765,25.3523,39.2,60,0,11.5,clear sky
163,Gold Coast,AU,2021-04-11 15:57:02,-28.0,153.4333,64.4,42,0,10.36,clear sky
164,Askiz,RU,2021-04-11 15:57:09,53.1319,90.5264,37.22,53,97,3.2,overcast clouds
165,Camacha,PT,2021-04-11 15:57:09,33.0833,-16.3333,68.0,83,40,13.8,scattered clouds
166,Minas De Barroteran,MX,2021-04-11 15:57:10,27.6333,-101.2833,75.18,45,99,2.24,overcast clouds
167,Bredasdorp,ZA,2021-04-11 15:57:10,-34.5322,20.0403,71.6,64,100,6.91,overcast clouds
168,Paamiut,GL,2021-04-11 15:53:14,61.994,-49.6678,35.01,78,8,10.78,clear sky
169,Saint-Denis,FR,2021-04-11 15:57:11,48.9167,2.3333,48.0,57,90,11.5,overcast clouds
170,Tocopilla,CL,2021-04-11 15:57:11,-22.092,-70.1979,71.33,64,6,7.56,clear sky
171,Bluff,NZ,2021-04-11 15:57:11,-46.6,168.3333,48.0,96,55,4.0,broken clouds
172,Shuyskoye,RU,2021-04-11 15:57:12,59.3736,41.0305,36.79,89,6,2.39,clear sky
173,Upington,ZA,2021-04-11 15:57:12,-28.4478,21.2561,96.8,14,20,8.05,few clouds
174,Tasiilaq,GL,2021-04-11 15:53:15,65.6145,-37.6368,30.2,69,0,4.61,clear sky
175,Santa Barbara,US,2021-04-11 15:54:56,34.7333,-120.0343,59.0,93,90,4.52,mist
176,Cabo San Lucas,MX,2021-04-11 15:54:15,22.8909,-109.9124,66.2,59,75,3.44,broken clouds
177,Masty,BY,2021-04-11 15:57:14,53.4122,24.5387,66.2,26,0,20.13,clear sky
178,Faya,SA,2021-04-11 15:53:16,18.3851,42.4509,69.8,64,40,10.36,scattered clouds
179,Kieta,PG,2021-04-11 15:57:15,-6.2167,155.6333,77.54,81,82,1.66,broken clouds
180,Gumdag,TM,2021-04-11 15:57:15,39.2061,54.5906,77.77,23,76,12.95,broken clouds
181,Nagyhegyes,HU,2021-04-11 15:57:15,47.5395,21.3444,66.2,27,0,11.5,clear sky
182,Morgan City,US,2021-04-11 15:57:16,29.6994,-91.2068,72.0,56,1,11.5,clear sky
183,Sitka,US,2021-04-11 15:57:16,57.0531,-135.33,33.8,75,90,3.44,light snow
184,Lagoa,PT,2021-04-11 15:57:17,39.05,-27.9833,62.67,85,84,7.52,broken clouds
185,Vila Velha,BR,2021-04-11 15:57:17,-20.3297,-40.2925,84.2,51,0,8.05,clear sky
186,Port Macquarie,AU,2021-04-11 15:57:18,-31.4333,152.9167,46.99,75,0,1.01,clear sky
187,Turukhansk,RU,2021-04-11 15:57:18,65.8167,87.9833,28.81,88,100,8.68,overcast clouds
188,Tuktoyaktuk,CA,2021-04-11 15:57:18,69.4541,-133.0374,-18.4,76,20,4.61,few clouds
189,Pisco,PE,2021-04-11 15:57:19,-13.7,-76.2167,73.4,64,0,9.22,clear sky
190,Bethel,US,2021-04-11 15:57:19,41.3712,-73.414,60.8,82,90,3.44,overcast clouds
191,Nyurba,RU,2021-04-11 15:57:19,63.2842,118.3319,-2.34,99,31,3.62,scattered clouds
192,Valreas,FR,2021-04-11 15:57:20,44.3837,4.9908,57.2,82,90,5.75,overcast clouds
193,Road Town,VG,2021-04-11 15:56:15,18.4167,-64.6167,82.4,57,40,6.91,scattered clouds
194,Thompson,CA,2021-04-11 15:57:20,55.7435,-97.8558,21.2,79,90,14.97,overcast clouds
195,Asyut,EG,2021-04-11 15:56:16,27.181,31.1837,69.8,37,0,16.11,clear sky
196,Lebu,CL,2021-04-11 15:57:21,-37.6167,-73.65,60.21,65,0,12.64,clear sky
197,Praia Da Vitoria,PT,2021-04-11 15:52:29,38.7333,-27.0667,66.2,82,20,13.89,few clouds
198,Yellowknife,CA,2021-04-11 15:57:21,62.456,-114.3525,-7.6,71,75,8.05,broken clouds
199,Noumea,NC,2021-04-11 15:57:21,-22.2763,166.4572,79.0,100,90,3.44,overcast clouds
200,Rawson,AR,2021-04-11 15:57:22,-43.3002,-65.1023,68.9,40,15,17.22,few clouds
201,Flin Flon,CA,2021-04-11 15:57:22,54.7682,-101.865,26.6,93,90,6.91,light snow
202,Fomboni,KM,2021-04-11 15:57:22,-12.28,43.7425,83.8,70,95,11.59,overcast clouds
203,Dakar,SN,2021-04-11 15:54:24,14.6937,-17.4441,75.2,69,0,13.8,clear sky
204,Havelock,US,2021-04-11 15:55:16,34.8791,-76.9013,73.0,71,27,5.99,scattered clouds
205,Guarapari,BR,2021-04-11 15:57:11,-20.6667,-40.4975,84.2,51,0,8.05,clear sky
206,Khatanga,RU,2021-04-11 15:57:23,71.9667,102.5,21.88,89,89,14.58,overcast clouds
207,Te Anau,NZ,2021-04-11 15:57:24,-45.4167,167.7167,48.09,93,15,0.92,few clouds
208,Hanzhong,CN,2021-04-11 15:57:24,33.0728,107.0303,52.14,93,100,0.25,light rain
209,Viedma,AR,2021-04-11 15:57:24,-40.8135,-62.9967,72.46,31,13,14.79,few clouds
210,Oktyabrskiy,RU,2021-04-11 15:57:25,54.4815,53.471,48.7,84,100,4.12,overcast clouds
211,Svetlogorsk,BY,2021-04-11 15:57:25,52.6333,29.7333,54.88,52,0,6.67,clear sky
212,Sambava,MG,2021-04-11 15:57:26,-14.2667,50.1667,77.83,85,100,11.99,light rain
213,Kodra,UA,2021-04-11 15:57:26,50.5949,29.5587,60.8,23,0,6.71,clear sky
214,Bol,TD,2021-04-11 15:57:26,13.4586,14.7147,91.27,30,9,13.96,clear sky
215,Mana,GF,2021-04-11 15:57:27,5.6592,-53.7767,75.76,92,100,3.42,overcast clouds
216,Bubaque,GW,2021-04-11 15:57:27,11.2833,-15.8333,77.23,71,17,13.13,few clouds
217,Winsum,NL,2021-04-11 15:57:28,53.33,6.5208,44.01,80,100,1.99,overcast clouds
